date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:18	908/908	U--MCZ	200	updated ('OK')	text/html	etag:W/%22b2470a7cb33a02ed7a4236f64607bba0%22	https://blur.io/robots.txt		(from )
21:29:18	35026/35026	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2001%20Feb%202023%2013:29:19%20GMT	https://blur.io/	C:/My%20Web%20Sites/blur/blur.io/index.html	(from )
21:29:19	33728/33728	U-----	200	untouched ('')	font/otf	etag:W/%2289621d95a578d943b2ba3f18dde0764b%22	https://blur.io/homepage/fonts/ProtoMono/ProtoMono-Regular.otf	C:/My%20Web%20Sites/blur/blur.io/homepage/fonts/ProtoMono/ProtoMono-Regular.otf	(from https://blur.io/)
21:29:19	3169/3169	U-----	200	untouched ('')	image/png	etag:%22025d2b67f7c728a9491b02490b09f453%22	https://blur.io/homepage/img/homepage/dots_pattern.png	C:/My%20Web%20Sites/blur/blur.io/homepage/img/homepage/dots_pattern.png	(from https://blur.io/)
21:29:19	821362/821362	U-----	200	untouched ('')	image/png	etag:%2271df62b4f690605ba0fe00b11d030db2%22	https://imgs.blur.io/_assets/common/og.png	C:/My%20Web%20Sites/blur/imgs.blur.io/_assets/common/og.png	(from https://blur.io/)
21:29:20	544/544	U-----	200	untouched ('')	image/png	etag:%2234d3593bb5bb779c306fc674206935f0%22	https://blur.io/homepage/img/homepage/progress_bar_dots_orange.png	C:/My%20Web%20Sites/blur/blur.io/homepage/img/homepage/progress_bar_dots_orange.png	(from https://blur.io/)
21:29:20	32820/32820	U-----	200	untouched ('')	font/otf	etag:W/%226753c89d7c1669a3a29800c17ac573e1%22	https://blur.io/homepage/fonts/ProtoMono/ProtoMono-Light.otf	C:/My%20Web%20Sites/blur/blur.io/homepage/fonts/ProtoMono/ProtoMono-Light.otf	(from https://blur.io/)
21:29:26	39604/39604	U-----	200	untouched ('')	font/otf	etag:W/%227a00f0a30463710a03bd615956a16b7c%22	https://blur.io/homepage/fonts/ProtoMono/ProtoMono-Bold.otf	C:/My%20Web%20Sites/blur/blur.io/homepage/fonts/ProtoMono/ProtoMono-Bold.otf	(from https://blur.io/)
21:29:51	3210/3210	U-----	200	untouched ('')	application/javascript	etag:W/%22fc1558789da61baeb66fc85dea9b6132%22	https://blur.io/homepage/_next/static/chunks/webpack-109187a9f7f0fb04.js	C:/My%20Web%20Sites/blur/blur.io/homepage/_next/static/chunks/webpack-109187a9f7f0fb04.js	(from https://blur.io/)
21:29:51	91460/91460	U-----	200	untouched ('')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://blur.io/homepage/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/blur/blur.io/homepage/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://blur.io/)
21:29:53	141364/141364	U-----	200	untouched ('')	application/javascript	etag:W/%228b423e6e7e2deb16c272d5862800c0d2%22	https://blur.io/homepage/_next/static/chunks/framework-85b7cf621d06094b.js	C:/My%20Web%20Sites/blur/blur.io/homepage/_next/static/chunks/framework-85b7cf621d06094b.js	(from https://blur.io/)
